iso1,iso2,group,community
3.19,-28.51,heptageniidae,Ll6
3.03,-29.48,heptageniidae,Ll6
2.16,-27.16,heptageniidae,Ll6
2.97,-28.53,heptageniidae,Ll6
3.26,-28.53,heptageniidae,Ll6
3.27,-29.37,heptageniidae,Ll6
2.66,-29.84,heptageniidae,Ll6
4.7,-31.07,heptageniidae,Ll6
3.7,-27.75,heptageniidae,Ll6
3.11,-29.02,heptageniidae,Ll6
2.57,-24.86,baetidae,Ll6
2.41,-23.82,baetidae,Ll6
2.13,-23.04,baetidae,Ll6
3.17,-24.68,baetidae,Ll6
2.89,-25.53,baetidae,Ll6
2.53,-25.86,baetidae,Ll6
2.38,-23.93,baetidae,Ll6
2.96,-26.87,baetidae,Ll6
2.6,-24.44,baetidae,Ll6
2.6,-25.99,baetidae,Ll6
3.28,-28.41,heptageniidae,Ll6
1.77,-28.66,nemouridae,Ll6
2.86,-26.16,baetidae,Ll6
4.42,-27.51,tipulid,Ll6
4.36,-27.36,tipulid,Ll6
2.96,-28.01,leuctridae,Ll6
3.04,-27.89,leuctridae,Ll6
2.05,-26.44,heptageniidae,Ll7
1.8,-26.89,heptageniidae,Ll7
2.74,-28.33,heptageniidae,Ll7
1.83,-26.58,heptageniidae,Ll7
2.78,-27.94,heptageniidae,Ll7
2.51,-27.98,heptageniidae,Ll7
2.32,-24.01,heptageniidae,Ll7
3.11,-28.06,heptageniidae,Ll7
3.01,-28.82,heptageniidae,Ll7
2.12,-28.12,heptageniidae,Ll7
2.83,-23.84,baetidae,Ll7
2.09,-25.32,baetidae,Ll7
1.42,-26.32,baetidae,Ll7
1.31,-26,baetidae,Ll7
2.82,-23.16,baetidae,Ll7
2.3,-25.48,baetidae,Ll7
1.46,-25.67,baetidae,Ll7
1.46,-27.38,baetidae,Ll7
2.19,-29.3,baetidae,Ll7
1.81,-26.45,baetidae,Ll7
5.53,-27.13,chloroperlidae,Ll7
5.47,-27.41,chloroperlidae,Ll7
1.74,-33.05,nemouridae,Ll7
2.09,-33.16,nemouridae,Ll7
4.5,-28.12,perlodidae,Ll7
4.43,-28.06,perlodidae,Ll7
2.12,-27.62,baetidae,Ll7
2.87,-27.87,heptageniidae,Ll7
2.93,-27.96,heptageniidae,Ll7
2.12,-27.57,baetidae,Ll7
6.53,-29.59,leuctridae,Ll8
5.42,-28.9,leuctridae,Ll8
6.21,-30.4,leuctridae,Ll8
5.77,-26.88,leuctridae,Ll8
6.25,-29.94,leuctridae,Ll8
5.97,-27.72,leuctridae,Ll8
6.75,-28.97,leuctridae,Ll8
5.57,-27.26,leuctridae,Ll8
5.61,-28.8,leuctridae,Ll8
5.66,-28.68,leuctridae,Ll8
6.26,-28.26,leuctridae,Ll8
6.11,-28.44,leuctridae,Ll8
6.13,-28.4,leuctridae,Ll8
6.18,-32.3,protonemura,Ll8
6.87,-29.4,protonemura,Ll8
6.15,-28.57,protonemura,Ll8
6.44,-31.7,protonemura,Ll8
6.53,-29.63,protonemura,Ll8
6.33,-30.99,protonemura,Ll8
6.37,-28.22,tipulid,Ll8
6.34,-28.13,tipulid,Ll8
6.52,-28.16,tipulid,Ll8
6.18,-29.13,chloroperlidae,Ll8
6.18,-28.96,chloroperlidae,Ll8
6.25,-29.47,protonemura,Ll8
7.15,-30.4,protonemura,Ll8
5.81,-32.64,protonemura,Ll8
7.19,-26.02,polycentropodidae,Ll3
7.29,-26.05,polycentropodidae,Ll3
5.01,-27.19,polycentropodidae,Ll3
5.29,-27.06,polycentropodidae,Ll3
3.85,-27.82,chloroperlidae,Ll3
5.32,-28.9,chloroperlidae,Ll3
5.33,-29.01,chloroperlidae,Ll3
5.44,-29.3,perlodidae,Ll3
5.95,-31.78,perlodidae,Ll3
5.89,-31.65,perlodidae,Ll3
6.28,-29.79,perlodidae,Ll3
6.39,-30.01,perlodidae,Ll3
1.82,-29.98,limnephilidae,Ll3
2.41,-29.8,limnephilidae,Ll3
1.98,-30.62,limnephilidae,Ll3
1.73,-30.34,limnephilidae,Ll3
6.17,-26.84,leuctridae,Ll3
4.55,-29.53,leuctridae,Ll3
4.3,-29.81,leuctridae,Ll3
4.53,-27.99,leuctridae,Ll3
3.85,-30.13,leuctridae,Ll3
4.36,-29.86,leuctridae,Ll3
4.27,-30.19,leuctridae,Ll3
4.5,-29.65,leuctridae,Ll3
